Site,715,N_scars,Length,Proximal_width,Medial_width,Distal_width,Thickness_at_medial,Platform_width,Platform_thickness,raw_material,raw_mat_simplified,Chert,Igneous,Other,Quartzite,N,E,Min,Mid,Max,Type,Prop_RT_Core,Count_RT_Core,Elongation,Convergence,PlatformArea,DorsalSA_TwoTrapezoids,Dorsal scar pattern,Region
Qafzeh XIX,417,6,27.24,33.61,29.48,12.93,5.2,33.25,1.88,chert,Chert,1,0,0,0,32.69957266,35.28457137,90,95,100,1,0.651685393,89,0.924016282,2.28,62.51,718.455,Unidirectional Convergent,Levant
Qafzeh XIX,427,5,45.64,20.15,23.84,8,8.87,17.99,1.93,chert,Chert,1,0,0,0,32.69957266,35.28457137,90,95,100,1,0.651685393,89,1.91442953,2.98,34.7207,865.2203,Unidirectional Convergent,Levant
Qafzeh XIX,621,7,25.95,32.96,30.71,17,5.54,29.96,5.33,chert,Chert,1,0,0,0,32.69957266,35.28457137,90,95,100,1,0.651685393,89,0.845001628,1.81,159.6868,722.57775,Unidirectional Convergent,Levant
Qafzeh XIX,2651,3,20.18,26.23,21.54,11.2,3.55,24.74,3.38,chert,Chert,1,0,0,0,32.69957266,35.28457137,90,95,100,1,0.651685393,89,0.936861653,1.92,83.6212,406.17295,Unidirectional Convergent,Levant
Qafzeh XIX,2653,6,25.8,18.3,22.03,14.3,4.75,13.09,3.77,chert,Chert,1,0,0,0,32.69957266,35.28457137,90,95,100,1,0.651685393,89,1.171130277,1.54,49.3493,494.457,Unidirectional Convergent,Levant
Qafzeh XIX,B11,4,27.3,17.71,23.58,8,6.26,14.32,4.03,chert,Chert,1,0,0,0,32.69957266,35.28457137,90,95,100,1,0.651685393,89,1.157760814,2.95,57.7096,497.33775,Unidirectional Convergent,Levant
Tor Faraj,1,4,59.17,32.96,36.21,1.13,8.29,31.47,10.9,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.634078984,32.04,343.023,1575.549175,Unidirectional Convergent,Levant
Tor Faraj,1,3,61.7,50.07,43.36,0.95,7.47,45.08,8.28,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.42297048,45.64,373.2624,2124.6395,Unidirectional Convergent,Levant
Tor Faraj,1,4,53.17,24.26,23.81,8.29,5.64,25.16,5.72,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,2.233095338,2.87,143.9152,1065.659725,Unidirectional Convergent,Levant
Tor Faraj,2,4,40.26,35.56,30.28,6.73,6.12,41.07,7.3,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.329590489,4.5,299.811,1035.18525,Unidirectional Convergent,Levant
Tor Faraj,2,3,68.53,24.6,20.06,0.9,4.85,23.1,4.4,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,3.416251246,22.29,101.64,1124.23465,Unidirectional Convergent,Levant
Tor Faraj,2,3,46.18,45.21,32.27,1.82,5.21,48.36,4.33,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.431050511,17.73,209.3988,1288.07565,Unidirectional Convergent,Levant
Tor Faraj,3,3,66.83,42.41,37.43,1.39,8.76,47.34,7.95,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.785466204,26.93,376.353,1982.51195,Unidirectional Convergent,Levant
Tor Faraj,3,3,69.27,39.57,31.67,4.68,8.53,30.68,7.21,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,2.187243448,6.77,221.2028,1863.189825,Unidirectional Convergent,Levant
Tor Faraj,3,3,53.06,42.11,20.5,4.94,5.88,42.44,6.13,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,2.588292683,4.15,260.1572,1167.98325,Unidirectional Convergent,Levant
Tor Faraj,3,5,62.09,36.74,30.68,4.27,4.83,39.63,4.28,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,2.023794003,7.19,169.6164,1589.038325,Unidirectional Convergent,Levant
Tor Faraj,4,4,63.79,21.99,29.43,1.08,8.94,22.94,5.45,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,2.16751614,27.25,125.023,1306.578675,Unidirectional Convergent,Levant
Tor Faraj,4,5,53.69,25.36,18.46,5.04,4.94,27.66,4.99,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,2.908450704,3.66,138.0234,903.6027,Unidirectional Convergent,Levant
Tor Faraj,4,3,39.5,28.8,35.77,18.37,5.02,32.2,4.91,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.104277327,1.95,158.102,1172.26125,Unidirectional Convergent,Levant
Tor Faraj,4,3,61.58,26.64,27.97,0.93,3.73,13.1,4.76,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,2.201644619,30.08,62.356,1285.63645,Unidirectional Convergent,Levant
Tor Faraj,4,3,54.42,22.43,26.36,20.81,7.21,23.28,3.9,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,2.064491654,1.27,90.792,1305.5358,Unidirectional Convergent,Levant
Tor Faraj,4,3,35.34,35.48,34.35,3.06,4.45,34.84,3.58,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.028820961,11.23,124.7272,947.4654,Unidirectional Convergent,Levant
Tor Faraj,5,5,57.56,36.68,34.91,30.33,7.68,39.82,7.56,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.648811229,1.15,301.0392,1968.9837,Unidirectional Convergent,Levant
Tor Faraj,5,3,46.48,36.55,27.31,1.14,6.21,42.42,6.84,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.701940681,23.96,290.1528,1072.6422,Unidirectional Convergent,Levant
Tor Faraj,5,4,61.74,31.66,31.98,24.78,5.35,33.59,4.79,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.930581614,1.29,160.8961,1858.374,Unidirectional Convergent,Levant
Tor Faraj,6,6,50.02,36.42,30.14,0.87,8.87,33.45,8.76,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.659588587,34.64,293.022,1220.11285,Unidirectional Convergent,Levant
Tor Faraj,6,3,46.94,42.09,29.75,1.74,7.11,42.7,7.63,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.577815126,17.1,325.801,1212.57755,Unidirectional Convergent,Levant
Tor Faraj,6,6,46.04,28.18,38.57,26.27,6.83,23.91,6.64,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.19367384,1.47,158.7624,1514.6009,Unidirectional Convergent,Levant
Tor Faraj,6,3,52.81,29.19,35.67,15.43,4.23,22.62,3.76,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.48051584,2.31,85.0512,1530.9619,Unidirectional Convergent,Levant
Tor Faraj,7,4,56.18,17.72,30.54,11.08,5.21,28.2,4.91,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.839554682,2.76,138.462,1262.3646,Unidirectional Convergent,Levant
Tor Faraj,8,4,73.74,34.64,33.83,3.35,9.13,33.23,10.15,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,2.17972214,10.1,337.2845,1947.65775,Unidirectional Convergent,Levant
Tor Faraj,9,3,39.01,23.43,24.84,7.52,4.96,22.71,5.97,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.570450886,3.3,135.5787,786.344075,Unidirectional Convergent,Levant
Tor Faraj,13,3,52.71,21.85,26.74,5.74,6.52,21.29,4.52,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.971204188,4.66,96.2308,1068.299925,Unidirectional Convergent,Levant
Tor Faraj,13,6,51.21,14.46,23.72,1.42,5.06,16.18,3.59,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,2.158937605,16.7,58.0862,810.6543,Unidirectional Convergent,Levant
Tor Faraj,14,3,32.22,40.37,39.82,18.34,7.58,38.45,8.98,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,0.809141135,2.17,345.281,1114.40925,Unidirectional Convergent,Levant
Tor Faraj,14,3,33.32,16.31,21.57,4.22,2.56,17.39,2.09,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.544738062,5.11,36.3451,530.3711,Unidirectional Convergent,Levant
Tor Faraj,15,6,70.17,53.39,40.14,9.21,11.15,56.17,7.68,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.74813154,4.36,431.3856,2506.4724,Unidirectional Convergent,Levant
Tor Faraj,15,3,44.6,32.89,20.61,3.49,4.02,24.3,3.61,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,2.163998059,5.91,87.723,865.24,Unidirectional Convergent,Levant
Tor Faraj,16,3,35.11,19.93,20.79,1.27,3.74,18.38,4.19,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.688792689,16.37,77.0122,551.05145,Unidirectional Convergent,Levant
Tor Faraj,16,4,55.4,17.46,31.68,13.07,5.04,24.45,3.88,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.748737374,2.42,94.866,1300.3765,Unidirectional Convergent,Levant
Tor Faraj,17,4,46.23,21.31,17.02,1.82,4.72,17.52,3.54,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,2.716216216,9.35,62.0208,660.742275,Unidirectional Convergent,Levant
Tor Faraj,18,3,36.18,37.01,28.62,1.36,6.45,40.28,7.21,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.264150943,21.04,290.4188,864.79245,Unidirectional Convergent,Levant
Tor Faraj,19,3,52.19,45.34,35.88,11.14,8.99,38.22,9.4,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.454570792,3.22,359.268,1673.2114,Unidirectional Convergent,Levant
Tor Faraj,19,3,63.5,50.07,46.44,3.01,8.05,23.47,5.01,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.367355728,15.43,117.5847,2317.115,Unidirectional Convergent,Levant
Tor Faraj,24,3,41.71,39.61,24.42,2.82,4.45,44,4.66,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.708026208,8.66,205.04,951.717925,Unidirectional Convergent,Levant
Tor Faraj,25,3,58.9,28.66,17.6,1.31,6.19,27.2,5.77,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,3.346590909,13.44,156.944,959.62825,Unidirectional Convergent,Levant
Tor Faraj,101,4,55.7,33.56,22.48,5.39,4.03,38.86,6.46,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,2.477758007,4.17,251.0356,1168.44675,Unidirectional Convergent,Levant
Tor Faraj,102,4,55.7,33.56,22.48,5.39,7.02,38.86,6.46,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,2.477758007,4.17,251.0356,1168.44675,Unidirectional Convergent,Levant
Tor Faraj,102,3,39.95,12.32,12.78,2.03,2.21,7.67,2.52,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,3.125978091,6.3,19.3284,398.601125,Unidirectional Convergent,Levant
Tor Faraj,204,3,26.48,18.31,16,6.45,3.04,16.04,4.86,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.655,2.48,77.9544,375.7512,Unidirectional Convergent,Levant
Tor Faraj,251,3,52.25,44.96,29.53,1.24,5.1,54.1,5.86,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.769387064,23.81,317.026,1374.95875,Unidirectional Convergent,Levant
Tor Faraj,254,3,69.72,53.01,37.65,1.39,7.24,52.28,7.54,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.851792829,27.09,394.1912,2260.671,Unidirectional Convergent,Levant
Tor Faraj,258,3,51.94,20.92,23.25,4,4.28,31.27,3.93,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,2.233978495,5.81,122.8911,927.3887,Unidirectional Convergent,Levant
Tor Faraj,507,3,53.04,21.1,34.99,1.43,10.26,18,4.43,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.515861675,24.47,79.74,1226.6826,Unidirectional Convergent,Levant
Tor Faraj,535,4,43.75,27.88,22.98,2.73,5.07,14.13,6.17,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.903829417,8.42,87.1821,837.484375,Unidirectional Convergent,Levant
Tor Faraj,553,4,30.7,30.6,24.19,9.33,5.78,30.83,4.24,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.269119471,2.59,130.7192,677.77925,Unidirectional Convergent,Levant
Tor Faraj,195-2,3,30.15,21.93,16.04,3.19,2.87,22.57,2.28,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.87967581,5.03,51.4596,431.145,Unidirectional Convergent,Levant
Tor Faraj,UC 14,3,27.91,15.03,13.68,2.76,2.07,8.43,2.25,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,2.040204678,4.96,18.9675,315.034125,Unidirectional Convergent,Levant
Tor Faraj,UC 17,3,45.24,34.82,32.02,2.2,7.04,37.4,7.42,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.412866958,14.55,277.508,1142.9886,Unidirectional Convergent,Levant
Tor Faraj,UC 18,3,31.57,16.43,16.28,2.57,5.38,14.8,5.11,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.939189189,6.33,75.628,406.9373,Unidirectional Convergent,Levant
Tor Faraj,UC 19,3,71.15,28.51,31.72,5.6,7.3,22.07,4.62,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,2.243064313,5.66,101.9634,1735.170625,Unidirectional Convergent,Levant
Tor Faraj,UC 22,3,57.24,41.12,27.45,3.95,5.32,13.13,2.85,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,2.085245902,6.95,37.4205,1430.5707,Unidirectional Convergent,Levant
Tor Faraj,UC1,5,55.64,44.26,30.02,1.98,6.57,58.15,8.08,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.853431046,15.16,469.852,1478.3548,Unidirectional Convergent,Levant
Tor Faraj,UC10,3,59.85,24.91,22.85,1.37,6.71,21.22,4.08,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,2.619256018,16.68,86.5776,1077.00075,Unidirectional Convergent,Levant
Tor Faraj,UC11,4,63.38,50.74,34.97,13.05,6.23,58.51,4.95,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.812410638,2.68,289.6245,2118.95185,Unidirectional Convergent,Levant
Tor Faraj,UC15,3,68.91,34.76,28.95,1.25,7.89,42.54,6.16,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,2.380310881,23.16,262.0464,1617.834525,Unidirectional Convergent,Levant
Tor Faraj,UC21,3,55.29,40.98,28.98,1.7,5.04,38.01,4.85,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,1.907867495,17.05,184.3485,1391.0964,Unidirectional Convergent,Levant
Tor Faraj,UC5,3,50.58,26.26,23.49,2.35,4.19,33.86,4.77,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,2.153256705,10,161.5122,955.83555,Unidirectional Convergent,Levant
Tor Faraj,UC6,3,58.51,36.53,28.05,2.37,6.35,27.28,5.91,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,2.085918004,11.84,161.2248,1389.6125,Unidirectional Convergent,Levant
Tor Faraj,UC7,3,75.01,54.22,35.18,1.26,7.17,58.84,6.81,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,2.132177374,27.92,400.7004,2359.8146,Unidirectional Convergent,Levant
Tor Faraj,UC8,3,55.97,38.72,20.37,2,4.82,49.92,3.86,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,2.747668139,10.19,192.6912,1139.82905,Unidirectional Convergent,Levant
Tor Faraj,UC9,4,66.27,28.23,27.24,2.14,5.75,28.18,6.23,chert,Chert,1,0,0,0,29.93739638,35.32052947,55,60,65,1,0.824175824,182,2.432819383,12.73,175.5614,1405.752375,Unidirectional Convergent,Levant
Wusta,256,3,37.35,38.27,43.52,4.91,12.98,41.22,17.14,ferruginous quartzite,Quartzite,0,0,0,1,27.418,39.397,85,90,95,0,0.221052632,95,0.858226103,8.86,706.5108,1215.92925,Unidirectional Convergent,Arabia
Wusta,259,3,20.71,22.05,16.36,3.04,5.3,21.91,5.78,chert,Chert,1,0,0,0,27.418,39.397,85,90,95,0,0.221052632,95,1.265892421,5.38,126.6398,299.311275,Unidirectional Convergent,Arabia
