Site,715,N_scars,Length,Proximal_width,Medial_width,Distal_width,Thickness_at_medial,Platform_width,Platform_thickness,raw_material,raw_mat_simplified,Chert,Igneous,Other,Quartzite,N,E,Min,Mid,Max,Type,Prop_RT_Core,Count_RT_Core,Elongation,Convergence,PlatformArea,DorsalSA_TwoTrapezoids,Dorsal scar pattern,Region
Ksar Akil 28A,1400,3,53,38.28,33.1,4.2,8.67,40.61,10.91,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.601208459,7.88,443.0551,1440.01,Unidirectional Convergent,Levant
Ksar Akil 28A,1421,4,48.09,21.61,20.39,1.9,4.35,19.89,9.13,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,2.358509073,10.73,181.5957,772.926525,Unidirectional Convergent,Levant
Ksar Akil 28A,1425,3,53.92,31.13,27.5,4.46,8.79,31.1,10.19,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.960727273,6.17,316.909,1221.1532,Unidirectional Convergent,Levant
Ksar Akil 28A,1487,4,53.47,21.95,22.16,6.62,6.39,21.72,5.23,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,2.412906137,3.35,113.5956,974.357075,Unidirectional Convergent,Levant
Ksar Akil 28A,1504,0,56.04,28.15,25.92,2.7,5.98,26.77,3.61,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,2.162037037,9.6,96.6397,1158.4869,Unidirectional Convergent,Levant
Ksar Akil 28A,1511,5,54.31,30.59,28.71,3.32,8.08,30.02,5.93,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.891675374,8.65,178.0186,1240.033075,Unidirectional Convergent,Levant
Ksar Akil 28A,1512,6,53.28,36.31,23.08,3.57,6.93,35.77,6.94,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,2.308492201,6.46,248.2438,1146.0528,Unidirectional Convergent,Levant
Ksar Akil 28A,1521,3,48.4,20.77,30.57,6.46,8.67,19.39,8.12,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.583251554,4.73,157.4468,1069.277,Unidirectional Convergent,Levant
Ksar Akil 28A,1522,7,61.54,31.86,34.84,3.91,10.84,30.55,9.26,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.766360505,8.91,282.893,1622.34825,Unidirectional Convergent,Levant
Ksar Akil 28A,1526,5,52.94,21.48,28.22,4.67,10.57,21.27,8.61,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.875974486,6.04,183.1347,1093.07865,Unidirectional Convergent,Levant
